City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sur,22.5667,59.5289,25.44,60,0,4.32,OM,1731637688
adamstown,-25.066,-130.1015,23.31,87,80,3.93,PN,1731637689
kirakira,-10.4544,161.9205,29.61,71,49,4.26,SB,1731637691
dolbeau-mistassini,48.8763,-72.212,-2.74,68,100,2.27,CA,1731637692
aasiaat,68.7098,-52.8699,-16.41,99,93,4.82,GL,1731637693
blackmans bay,-43.0167,147.3167,15.29,56,94,2.84,AU,1731637694
jamestown,42.097,-79.2353,5.01,95,100,4.63,US,1731637484
edinburgh of the seven seas,-37.0676,-12.3116,14.08,87,99,9.05,SH,1731637697
kill devil hills,36.0307,-75.676,15.55,85,100,5.66,US,1731637604
ushuaia,-54.8,-68.3,10.81,54,40,2.57,AR,1731637700
daleville,31.3102,-85.713,17.11,72,0,3.09,US,1731637595
yorkton,51.2167,-102.4677,3.91,100,100,3.6,CA,1731637607
bethel,41.3712,-73.414,4.01,50,0,0.0,US,1731637703
port-aux-francais,-49.35,70.2167,3.79,70,100,11.54,TF,1731637704
mount gambier,-37.8333,140.7667,20.47,35,79,2.34,AU,1731637705
wailua homesteads,22.0669,-159.378,25.44,79,100,9.26,US,1731637706
ust-nera,64.5667,143.2,-25.78,94,84,1.32,RU,1731637708
west island,-12.1568,96.8225,26.99,94,75,7.72,CC,1731637709
college,64.8569,-147.8028,-18.84,78,40,3.6,US,1731637710
yellowknife,62.456,-114.3525,-9.21,99,100,4.63,CA,1731637711
carnarvon,-24.8667,113.6333,24.55,60,0,4.59,AU,1731637624
otacilio costa,-27.4831,-50.1219,13.35,91,86,3.47,BR,1731637713
grytviken,-54.2811,-36.5092,0.85,66,89,3.81,GS,1731637715
thompson,55.7435,-97.8558,-2.91,68,100,4.12,CA,1731637508
stanley,54.868,-1.6985,7.01,100,100,2.06,GB,1731637717
whitehorse,60.7161,-135.0538,-12.21,99,58,1.46,CA,1731637718
roma,43.2128,-75.4557,4.08,41,0,3.6,US,1731637460
bilibino,68.0546,166.4372,-26.35,100,97,0.19,RU,1731637720
ilulissat,69.2167,-51.1,-6.99,58,3,8.75,GL,1731637721
hermanus,-34.4187,19.2345,13.78,88,1,3.94,ZA,1731637722
hadibu,12.65,54.0333,25.39,72,37,4.56,YE,1731637725
udachny,66.4167,112.4,-29.19,99,65,3.24,RU,1731637726
tiksi,71.6872,128.8694,-23.87,100,100,1.0,RU,1731637727
ostrovskoye,57.8057,42.2433,-1.35,91,100,3.34,RU,1731637728
twentynine palms,34.1356,-116.0542,17.36,18,87,0.45,US,1731637729
longyearbyen,78.2186,15.6401,-2.09,93,100,11.83,SJ,1731637730
waycross,31.2136,-82.354,19.94,93,50,0.45,US,1731637734
orsha,54.5153,30.4053,-0.28,96,100,3.9,BY,1731637735
papatowai,-46.5619,169.4708,10.43,74,100,4.95,NZ,1731637736
miles city,46.4083,-105.8406,6.54,39,0,3.09,US,1731637737
utrik,11.2278,169.8474,28.29,73,36,3.93,MH,1731637738
rawson,-43.3002,-65.1023,19.16,42,0,3.09,AR,1731637739
dunedin,-45.8742,170.5036,9.07,86,100,7.58,NZ,1731637741
santa marta,11.2408,-74.199,27.16,80,75,4.92,CO,1731637565
inhambane,-23.865,35.3833,21.78,70,87,5.03,MZ,1731637743
avarua,-21.2078,-159.775,24.03,64,75,5.66,CK,1731637744
waitangi,-43.9535,-176.5597,13.52,86,100,13.99,NZ,1731637745
ulladulla,-35.35,150.4667,18.01,69,89,2.08,AU,1731637746
callao,-12.0667,-77.15,20.4,77,0,5.14,PE,1731637530
hawaiian paradise park,19.5933,-154.9731,25.73,78,100,3.09,US,1731637748
saipan,15.1355,145.701,31.39,79,40,6.69,MP,1731637750
ribeira grande,38.5167,-28.7,17.1,78,76,1.79,PT,1731637751
amahai,-3.3333,128.9167,29.06,69,12,2.05,ID,1731637753
invercargill,-46.4,168.35,12.79,66,87,7.6,NZ,1731637754
fort st. john,56.2499,-120.8529,-8.06,86,75,4.63,CA,1731637755
tongouson,5.0214,120.1328,28.5,71,93,0.47,PH,1731637756
chadron,42.8294,-102.9999,6.09,51,0,2.57,US,1731637701
baoqing,46.3317,132.2111,1.94,48,0,4.54,CN,1731637759
dourados,-22.2211,-54.8056,20.89,46,4,3.16,BR,1731637760
guerrero negro,27.9769,-114.0611,17.0,79,0,5.85,MX,1731637761
onega,63.9061,38.1404,0.08,90,66,4.49,RU,1731637762
sitka,57.0531,-135.33,3.94,81,75,2.57,US,1731637763
antofagasta,-23.65,-70.4,16.77,77,52,1.09,CL,1731637764
toropets,56.4978,31.6353,0.37,97,100,2.87,RU,1731637765
malango,-2.9627,119.9001,28.16,60,73,1.59,ID,1731637766
el reno,35.5323,-97.955,12.96,55,0,4.18,US,1731637768
rio grande,-32.035,-52.0986,18.28,83,0,4.53,BR,1731637510
kodiak,57.79,-152.4072,6.73,76,0,0.0,US,1731637770
puerto natales,-51.7236,-72.4875,6.24,94,100,1.49,CL,1731637771
tambacounda,13.7539,-13.7586,26.67,35,100,3.19,SN,1731637772
hithadhoo,-0.6,73.0833,28.26,78,100,5.88,MV,1731637773
chonchi,-42.6128,-73.8092,10.07,96,100,2.69,CL,1731637774
yung shue wan,22.2333,114.1167,24.79,95,96,4.46,HK,1731637775
champerico,14.3,-91.9167,27.48,75,100,1.94,GT,1731637776
camapua,-19.5314,-54.0439,24.69,65,30,2.24,BR,1731637778
port lincoln,-34.7333,135.8667,17.79,65,100,6.74,AU,1731637779
kalevala,65.2,31.1667,-0.61,79,58,3.83,RU,1731637780
nuuk,64.1835,-51.7216,-3.66,63,100,3.09,GL,1731637510
cabo san lucas,22.8909,-109.9124,25.42,59,0,4.12,MX,1731637609
port mathurin,-19.6833,63.4167,24.26,75,14,7.01,MU,1731637783
kailua-kona,19.6406,-155.9956,26.98,74,40,2.57,US,1731637784
"laikit, laikit ii (dimembe)",1.4792,124.9735,29.47,70,40,1.54,ID,1731637785
kenema,7.8767,-11.1875,22.27,98,98,0.28,SL,1731637787
al kharj,24.155,47.3346,17.32,47,0,2.53,SA,1731637733
naze,28.3667,129.4833,24.51,89,100,1.3,JP,1731637789
borodino,55.9106,94.8983,-12.42,83,100,3.4,RU,1731637790
iskateley,67.6803,53.1512,0.02,93,100,6.14,RU,1731637791
alamogordo,32.8995,-105.9603,12.65,36,40,4.12,US,1731637792
shpola,49.0069,31.3947,-2.11,83,66,3.54,UA,1731637793
kottagudem,17.55,80.6333,24.01,85,27,1.1,IN,1731637794
waingapu,-9.6567,120.2641,31.93,60,62,5.44,ID,1731637796
san antonio de pale,-1.4014,5.6325,25.71,83,100,2.51,GQ,1731637797
rikaze,29.25,88.8833,4.76,25,0,0.78,CN,1731637798
bel ombre,-4.6167,55.4167,25.91,89,20,0.0,SC,1731637799
craig,40.5153,-107.5464,3.79,55,0,1.54,US,1731637801
khandyga,62.6667,135.6,-18.8,93,100,0.54,RU,1731637802
almeirim,-1.5233,-52.5817,26.77,63,99,0.61,BR,1731637803
lompoc,34.6391,-120.4579,13.4,87,100,7.72,US,1731637618
sarakhs,36.5449,61.1577,4.92,63,2,2.3,IR,1731637806
sparti,37.0733,22.4297,14.97,92,1,1.7,GR,1731637807
kuta,-8.7233,115.1723,30.97,79,20,2.57,ID,1731637808
zhezqazghan,47.7833,67.7667,-2.68,80,100,4.0,KZ,1731637809
ventspils,57.3894,21.5606,7.96,71,40,5.14,LV,1731637810
ad dindar,13.2,34.1667,27.74,47,29,2.69,SD,1731637811
sibirskiy,53.5777,83.7577,-3.56,95,100,4.93,RU,1731637812
newman,37.3138,-121.0208,13.36,73,100,0.89,US,1731637813
aabenraa,55.0443,9.4174,8.18,95,55,5.05,DK,1731637815
papao,-17.75,-149.55,28.82,81,100,5.01,PF,1731637816
kourou,5.1552,-52.6478,26.08,88,28,3.39,GF,1731637817
fort william,56.8165,-5.1121,11.28,96,100,2.08,GB,1731637743
vorkuta,67.5,64.0,-7.16,96,100,5.01,RU,1731637819
tolanaro,-25.0319,46.9987,23.04,94,75,1.54,MG,1731637820
fale old settlement,-9.3852,-171.2468,28.25,74,90,4.01,TK,1731637822
gebeit,21.0667,36.3167,19.66,58,0,2.59,SD,1731637823
east london,-33.0153,27.9116,15.81,85,3,3.91,ZA,1731637824
anadyr,64.75,177.4833,-9.72,73,75,2.0,RU,1731637825
ancud,-41.8697,-73.8203,11.09,92,100,5.57,CL,1731637797
carolina,18.3808,-65.9574,24.89,92,99,0.45,PR,1731637827
galliano,29.4422,-90.2992,17.0,72,0,2.57,US,1731637828
aykhal,66.0,111.5,-27.0,100,100,3.83,RU,1731637829
port alfred,-33.5906,26.891,15.3,86,38,2.88,ZA,1731637831
itamaraca,-7.7478,-34.8256,24.51,76,3,3.21,BR,1731637832
remire-montjoly,4.9167,-52.2667,26.02,94,100,1.54,GF,1731637833
talnakh,69.4865,88.3972,-30.09,98,99,3.64,RU,1731637834
road town,18.4167,-64.6167,27.02,78,40,3.09,VG,1731637835
revda,56.801,59.9303,-2.06,89,100,5.95,RU,1731637836
george town,5.4112,100.3354,26.97,79,20,5.81,MY,1731637818
narasannapeta,18.4167,84.05,26.23,67,10,2.67,IN,1731637839
forster,-32.1667,152.5167,19.65,95,100,3.89,AU,1731637840
ringas,27.35,75.5667,22.73,32,0,1.08,IN,1731637841
nagqu,31.5,92.0,2.65,14,2,3.44,CN,1731637842
alpine,32.835,-116.7664,13.15,78,0,0.0,US,1731637843
nar'yan-mar,67.6713,53.087,0.11,88,100,6.45,RU,1731637844
san patricio,28.017,-97.5169,16.97,34,0,3.36,US,1731637845
embi,48.8264,58.1442,-2.34,79,10,3.36,KZ,1731637846
dongning,44.0622,131.1207,9.44,65,1,1.34,CN,1731637848
hamilton,39.1834,-84.5333,11.69,94,100,6.17,US,1731637849
